CustomerID,FirstName,LastName,Email,Phone
1,Michael,Williams,michael.williams@example.com,777-4042
2,Robert,Smith,robert.smith@example.com,666-2466
3,Jane,Garcia,jane.garcia@example.com,666-1614
4,Emily,Williams,emily.williams@example.com,555-8693
5,Jessica,Jones,jessica.jones@example.com,777-4223
6,Jessica,Williams,jessica.williams@example.com,777-3667
7,Michael,Johnson,michael.johnson@example.com,555-1130
8,Sarah,Smith,sarah.smith@example.com,555-3983
9,Sarah,Johnson,sarah.johnson@example.com,666-5278
10,William,Johnson,william.johnson@example.com,777-9230
11,Linda,Jones,linda.jones@example.com,777-7640
12,Jane,Smith,jane.smith@example.com,555-1920
13,Sarah,Smith,sarah.smith@example.com,555-9684
14,Emily,Davis,emily.davis@example.com,666-9502
15,Michael,Smith,michael.smith@example.com,777-4241
16,Robert,Smith,robert.smith@example.com,666-5346
17,William,Smith,william.smith@example.com,777-4810
18,Henry,Jones,henry.jones@example.com,777-8206
19,John,Williams,john.williams@example.com,666-3032
20,Robert,Davis,robert.davis@example.com,555-9436
21,Henry,Johnson,henry.johnson@example.com,555-1271
22,Jessica,Smith,jessica.smith@example.com,777-5361
23,John,Miller,john.miller@example.com,666-1920
24,Jane,Williams,jane.williams@example.com,777-4430
25,Emily,Williams,emily.williams@example.com,555-4760
26,John,Johnson,john.johnson@example.com,777-2165
27,Linda,Jones,linda.jones@example.com,666-3033
28,Henry,Brown,henry.brown@example.com,666-5388
29,Jane,Brown,jane.brown@example.com,555-9623
30,Linda,Williams,linda.williams@example.com,555-9173
31,Jessica,Garcia,jessica.garcia@example.com,777-3632
32,Linda,Garcia,linda.garcia@example.com,777-9056
33,William,Johnson,william.johnson@example.com,777-2828
34,William,Brown,william.brown@example.com,555-5805
35,Michael,Williams,michael.williams@example.com,777-8486
36,Robert,Jones,robert.jones@example.com,666-9202
37,Robert,Brown,robert.brown@example.com,666-2868
38,Jane,Williams,jane.williams@example.com,666-8878
39,Jessica,Williams,jessica.williams@example.com,777-8827
40,Sarah,Smith,sarah.smith@example.com,555-6429
41,William,Jones,william.jones@example.com,555-4564
42,Jane,Smith,jane.smith@example.com,666-8274
43,Sarah,Johnson,sarah.johnson@example.com,666-1824
44,Robert,Smith,robert.smith@example.com,666-1936
45,Michael,Miller,michael.miller@example.com,555-7402
46,Linda,Smith,linda.smith@example.com,666-2796
47,William,Miller,william.miller@example.com,666-8214
48,Jane,Brown,jane.brown@example.com,777-3736
49,John,Garcia,john.garcia@example.com,555-2913
50,Sarah,Davis,sarah.davis@example.com,555-8657
51,Linda,Davis,linda.davis@example.com,777-8312
52,William,Williams,william.williams@example.com,777-8906
53,Robert,Davis,robert.davis@example.com,666-5876
54,Jessica,Miller,jessica.miller@example.com,555-5675
55,Sarah,Jones,sarah.jones@example.com,666-2380
56,Robert,Smith,robert.smith@example.com,666-2290
57,William,Miller,william.miller@example.com,555-8490
58,Sarah,Jones,sarah.jones@example.com,777-2218
59,Linda,Garcia,linda.garcia@example.com,555-7881
60,William,Davis,william.davis@example.com,666-1954
61,Henry,Garcia,henry.garcia@example.com,666-8291
62,Jane,Davis,jane.davis@example.com,777-5133
63,Linda,Smith,linda.smith@example.com,777-4972
64,Sarah,Johnson,sarah.johnson@example.com,666-9228
65,Jessica,Smith,jessica.smith@example.com,555-9987
66,Robert,Brown,robert.brown@example.com,555-6068
67,John,Miller,john.miller@example.com,555-6233
68,Robert,Williams,robert.williams@example.com,555-1317
69,Sarah,Johnson,sarah.johnson@example.com,555-3162
70,Robert,Smith,robert.smith@example.com,666-2591
71,Jane,Jones,jane.jones@example.com,666-7183
72,William,Johnson,william.johnson@example.com,777-2312
73,John,Miller,john.miller@example.com,666-5311
74,Emily,Davis,emily.davis@example.com,777-3383
75,Sarah,Johnson,sarah.johnson@example.com,555-2704
76,Michael,Davis,michael.davis@example.com,555-1362
77,Emily,Miller,emily.miller@example.com,555-5286
78,Robert,Smith,robert.smith@example.com,777-3469
79,Sarah,Miller,sarah.miller@example.com,777-1556
80,Henry,Johnson,henry.johnson@example.com,666-3808
81,Michael,Jones,michael.jones@example.com,777-6150
82,John,Garcia,john.garcia@example.com,777-8561
83,Jessica,Johnson,jessica.johnson@example.com,777-4741
84,Henry,Miller,henry.miller@example.com,777-4998
85,Emily,Garcia,emily.garcia@example.com,666-3403
86,William,Miller,william.miller@example.com,666-9780
87,Jane,Jones,jane.jones@example.com,555-1294
88,Jessica,Miller,jessica.miller@example.com,666-6343
89,Henry,Smith,henry.smith@example.com,555-2136
90,William,Williams,william.williams@example.com,555-3064
91,William,Davis,william.davis@example.com,777-8009
92,Sarah,Davis,sarah.davis@example.com,555-2007
93,Henry,Johnson,henry.johnson@example.com,666-6352
94,John,Williams,john.williams@example.com,666-2435
95,Robert,Miller,robert.miller@example.com,777-6084
96,Michael,Jones,michael.jones@example.com,666-8059
97,Michael,Johnson,michael.johnson@example.com,666-8491
98,Emily,Miller,emily.miller@example.com,777-2040
99,Emily,Garcia,emily.garcia@example.com,666-9073
100,Michael,Brown,michael.brown@example.com,666-3752
